,hscode,volume,eight_bits
2879,10064090005,160,10064090
2880,10063040001,20000,10063040
2881,10063040001,40000,10063040
2882,10063040001,9800,10063040
2883,10063030003,10000,10063030
2884,10062010001,2000,10062010
2885,10062010001,2000,10062010
2886,10062090613,2000,10062090
2887,10062090613,3000,10062090
2888,10062090613,6000,10062090
2889,10064090005,2000,10064090
2890,10063040001,3000,10063040
2891,10063040001,3000,10063040
2892,10063030003,2000,10063030
2893,10063030003,3000,10063030
2894,10063099600,10000,10063099
2895,10063040001,666,10063040
2896,10063040001,320,10063040
2897,10063040001,40,10063040
2898,10063030003,100,10063030
2899,10063030003,40,10063030
2900,10063040001,100000,10063040
2901,10063040001,2870,10063040
2902,10063040001,300,10063040
2903,10063040001,3040,10063040
2904,10063040001,1425,10063040
2905,10063091001,6000,10063091
2906,10064090005,1200,10064090
2907,10064090005,1200,10064090
2908,10063099012,10400,10063099
2909,10063099001,16620,10063099
2910,10063099001,700,10063099
2911,10063099001,480,10063099
2912,10063030003,200,10063030
2913,10063030003,200,10063030
2914,10062090619,100,10062090
2915,10062010001,100,10062010
2916,10063040001,20920,10063040
2917,10063040001,18796,10063040
2918,10063040001,1134,10063040
2919,10063040001,1134,10063040
2920,10063040001,1140,10063040
2921,10063040001,1134,10063040
