,hscode,volume,eight_bits
2288,10063040001,900,10063040
2289,10063040001,5330,10063040
2290,10063040001,900,10063040
2291,10063040001,6078,10063040
2292,10063099001,100,10063099
2293,10063091001,2100,10063091
2294,10063040001,185,10063040
2295,10063040001,205,10063040
2296,10063099010,2000,10063099
2297,10063099010,3000,10063099
2298,10063091001,1000,10063091
2299,10063099001,1150,10063099
2300,10063099001,270,10063099
2301,10063030003,925,10063030
2302,10063040001,3900,10063040
2303,15119039000,10,15119039
2304,10063040001,1240,10063040
2305,10063099001,1020,10063099
2306,10063099010,23334,10063099
2307,10063099010,6300,10063099
2308,10063040001,1075,10063040
2309,10063040001,1075,10063040
2310,10063040001,1075,10063040
2311,10062090607,70,10062090
2312,10064090003,150,10064090
2313,10063040001,650,10063040
2314,10063040001,210,10063040
2315,10063030003,168,10063030
2316,10062090613,140,10062090
2317,10063040001,920,10063040
2318,10063040001,450,10063040
2319,10063040001,450,10063040
2320,10063040001,280,10063040
2321,10063040001,280,10063040
2322,10063040001,290,10063040
2323,15119036000,440,15119036
2324,15119036000,440,15119036
2325,15119036000,440,15119036
2326,15119036000,440,15119036
2327,15119036000,440,15119036
2328,15119036000,440,15119036
2329,10062090609,32,10062090
2330,10062090615,16,10062090
2331,10062090607,35,10062090
2332,10063030003,3700,10063030
2333,10063099001,4600,10063099
2334,10063040001,583,10063040
2335,10063040001,100,10063040
2336,10063040001,4000,10063040
2337,10063040001,1000,10063040
2338,10063099001,600,10063099
2339,10063099001,225,10063099
2340,10063099001,600,10063099
2341,10063040001,925,10063040
2342,10063099001,1600,10063099
2343,10063040001,850,10063040
2344,10063040001,900,10063040
2345,15119036000,11100,15119036
2346,15119036000,6000,15119036
2347,15119036000,9600,15119036
2348,15119036000,12000,15119036
2349,15119036000,2240,15119036
2350,15119036000,4800,15119036
2351,15119036000,2400,15119036
2352,15119036000,2000,15119036
2353,15119036000,5880,15119036
2354,15119036000,8400,15119036
2355,15119036000,3600,15119036
2356,15119036000,1480,15119036
2357,15119036000,5400,15119036
2358,15119036000,10800,15119036
2359,10063040001,1100,10063040
2360,10063091001,100,10063091
2361,10063040001,200,10063040
2362,10063040001,650,10063040
2363,10063040001,1100,10063040
2364,10063099001,3600,10063099
2365,10063099001,7360,10063099
2366,10063099001,1840,10063099
2367,10063040001,810,10063040
2368,10063040001,925,10063040
2369,10063040500,58500,10063040
2370,10063099001,17670,10063099
2371,10063099001,36570,10063099
2372,10063040001,855,10063040
2373,10063040001,855,10063040
2374,10063040001,6300,10063040
2375,10063091001,9000,10063091
2376,10063099010,1100,10063099
2377,10063040001,2280,10063040
2378,10063099012,10400,10063099
2379,10063030003,13500,10063030
2380,10063099012,10400,10063099
2381,10063040001,1600,10063040
2382,10063040001,600,10063040
2383,10063091001,200,10063091
2384,15119036000,2440,15119036
2385,15119036000,6000,15119036
2386,15119036000,8400,15119036
2387,10063091001,120000,10063091
2388,10063099001,850,10063099
2389,10063091001,1300,10063091
2390,10064090005,200,10064090
2391,10064090005,400,10064090
2392,10064090005,1600,10064090
2393,10063040001,25500,10063040
2394,10063040001,200,10063040
2395,10063040001,5000,10063040
2396,10063040001,25000,10063040
2397,10063040001,1500,10063040
2398,10063030003,50,10063030
2399,10063030003,50,10063030
2400,10063030003,200,10063030
2401,10063030003,200,10063030
2402,10063030003,200,10063030
2403,10063040001,950,10063040
2404,10063040001,400,10063040
2405,10063040001,1680,10063040
2406,10063040001,1100,10063040
2407,10063091001,4000,10063091
2408,10063040500,20,10063040
2409,10063099012,53040,10063099
2410,10063091001,1,10063091
2411,10063091001,200000,10063091
2412,10063099601,60000,10063099
2413,10063099601,60000,10063099
2414,10063099090,1,10063099
2415,10063099090,1,10063099
2416,10063099090,1,10063099
2417,10063099090,1,10063099
2418,10063099090,1,10063099
2419,10063099090,1,10063099
2420,10063099090,1,10063099
2421,10063099090,1,10063099
2422,10063099090,1,10063099
2423,10063099090,1,10063099
2424,10063099090,1,10063099
2425,10063099090,1,10063099
2426,10063099090,1,10063099
2427,10063099090,1,10063099
2428,10063099090,1,10063099
2429,10063099090,1,10063099
2430,10063099090,1,10063099
2431,10063099090,1,10063099
2432,10063099090,1,10063099
2433,10063099090,1,10063099
2434,10063099090,1,10063099
2435,10063091001,300,10063091
2436,10063091001,250,10063091
2437,10063091001,50,10063091
2438,10063091001,1,10063091
2439,10063091001,1,10063091
