undefined,declaration_type,year_in_yy,month,running_no,item_no,origin_country_code,destination_country_code,transportation,tax_id,company_branch,customs_coordinates,product_statistic_code,product_statistic_code_unit,privilege_code,duty_rate_by_percent,duty_rate_by_condition,is_a_net_transaction_brought_back,use_the_rights_to_promote_investment,use_the_rights_bonded_warehouse,exercising_the_right_to_claim_duty_under_section_19_bis,use_the_right_reimport_reexport,use_the_right_freezone,use_the_right_epz,multiple_boat_declaration_approval_lists_or_claim_duty_compensation,import_or_export_date,payment_place_code,payment_number,payment_date,release_location_code,release_date,pickup_location_code,pickup_date,making_year,making_month,weigth,volume,value_in_baht,value_in_other_currency,currency_code,duty,vat,excise_tax,fee,ministry_of_commerce_fee,interior_tax,other_tax,excise_coordinate,excise_tax_by_percent,excise_tax_by_condition,import_or_export_customs_set,hscode
A029,1,63,01,13264,0001,CA,CA,1,    0105522018355,0000,000010063099,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200211,0110,000000,20200129,0520,20200131,2801,20200206,2563,01,00000000020720,00000000002590,0000000000474492,0000000000015851,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063099001
A029,1,63,01,13265,0001,CA,CA,1,    0105522018355,0000,000010063099,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200211,0110,000000,20200129,0520,20200131,2801,20200206,2563,01,00000000020720,00000000002590,0000000000474492,0000000000015851,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063099001
A029,1,63,01,13267,0001,JP,JP,1,    0105522018355,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200211,2801,000000,20200129,2836,20200131,2801,20200202,2563,01,00000000160000,00000000032000,0000000006436004,0000000000215000,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,13268,0001,SG,SG,1,    0105522018355,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200212,2801,000000,20200129,2836,20200201,2801,20200204,2563,01,00000000120000,00000000006000,0000000005046413,0000000000168580,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,13269,0001,SE,SE,1,    0105522018355,0000,000010064090,003,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200211,0110,000000,20200129,0520,20200202,2801,20200206,2563,01,00000000008640,00000000000720,0000000000225015,0000000000007517,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010064090003
A029,1,63,01,13269,0002,SE,SE,1,    0105522018355,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200211,0110,000000,20200129,0520,20200202,2801,20200206,2563,01,00000000009600,00000000000030,0000000000389393,0000000000013008,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,13271,0001,CN,CN,1,    0105522018355,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200212,0152,000000,20200129,0252,20200131,0250,20200203,2563,01,00000000050000,00000000002000,0000000001601517,0000000000053500,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,13271,0002,CN,CN,1,    0105522018355,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200212,0152,000000,20200129,0252,20200131,0250,20200203,2563,01,00000000025000,00000000005000,0000000000838177,0000000000028000,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,13599,0001,CA,CA,1,    0105522018355,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200212,2801,000000,20200129,2816,20200203,2801,20200206,2563,01,00000000208000,00000000026000,0000000006537782,0000000000218400,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
A029,1,63,01,14671,0001,SG,SG,1,    0105525038021,0000,000010063040,001,KGM,003,000000000000000000,000000000000000000,N,N,N,N,N,N,N,N,20200218,2801,000000,20200129,2836,20200203,2801,20200205,2563,01,00000000012000,00000000000600,0000000000453480,0000000000015149,USD,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,000000000000,000000000000000000,000000000000000000,      1PART3,000010063040001
